epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,5712.52,0.98786,1.39468,1.25542,0.70326,0.67854,0.69086,0.4852,1.09471,1.50271,1.30205,0.000119142,0.000119142,0.000119142
56,5816.67,0.97314,1.38268,1.24249,0.72975,0.65053,0.69796,0.48862,1.08452,1.55126,1.28622,0.000116608,0.000116608,0.000116608
57,5919.76,0.97568,1.34526,1.23594,0.69593,0.68496,0.70146,0.4929,1.07476,1.50643,1.2749,0.000114074,0.000114074,0.000114074
58,6023.5,0.96524,1.36812,1.23955,0.72108,0.67988,0.70286,0.49174,1.08694,1.47411,1.28531,0.000111539,0.000111539,0.000111539
59,6127,0.96906,1.34271,1.23299,0.73645,0.66628,0.70718,0.4974,1.08672,1.42891,1.28749,0.000109005,0.000109005,0.000109005
60,6230.65,0.96057,1.34513,1.2368,0.70714,0.67682,0.70153,0.49518,1.07968,1.45456,1.28137,0.00010647,0.00010647,0.00010647
61,6333.99,0.95126,1.33255,1.23241,0.69461,0.67912,0.69892,0.48871,1.08256,1.41525,1.28094,0.000103936,0.000103936,0.000103936
62,6437.54,0.96185,1.33427,1.23592,0.7241,0.67161,0.7098,0.49975,1.07734,1.38829,1.28341,0.000101402,0.000101402,0.000101402
63,6540.93,0.9577,1.31164,1.22973,0.72238,0.6954,0.71813,0.50998,1.06518,1.34586,1.2698,9.88672e-05,9.88672e-05,9.88672e-05
64,6644.66,0.95374,1.30822,1.23603,0.71851,0.6834,0.70933,0.50075,1.07778,1.36701,1.2815,9.63328e-05,9.63328e-05,9.63328e-05
65,6748.32,0.93444,1.28048,1.21559,0.75157,0.68154,0.72389,0.50842,1.0782,1.32993,1.28467,9.37984e-05,9.37984e-05,9.37984e-05
66,6851.82,0.94366,1.29642,1.22142,0.74711,0.66616,0.72147,0.50639,1.07499,1.34668,1.27197,9.1264e-05,9.1264e-05,9.1264e-05
67,6955.79,0.94495,1.2788,1.22477,0.74241,0.68102,0.71436,0.50599,1.07205,1.35205,1.27497,8.87296e-05,8.87296e-05,8.87296e-05
68,7059.56,0.95919,1.30177,1.23727,0.73649,0.69493,0.72365,0.51344,1.06209,1.30511,1.263,8.61952e-05,8.61952e-05,8.61952e-05
69,7162.74,0.93434,1.2602,1.21655,0.77843,0.67189,0.72709,0.5066,1.07423,1.32016,1.27818,8.36608e-05,8.36608e-05,8.36608e-05
70,7266.32,0.93152,1.24148,1.21395,0.74414,0.68336,0.72311,0.51153,1.06578,1.29937,1.27783,8.11264e-05,8.11264e-05,8.11264e-05
71,7370.04,0.93807,1.26491,1.216,0.73099,0.68495,0.72077,0.50687,1.06926,1.30325,1.2726,7.8592e-05,7.8592e-05,7.8592e-05
72,7473.95,0.93101,1.25812,1.21062,0.75381,0.68308,0.72161,0.50164,1.07561,1.32866,1.28291,7.60576e-05,7.60576e-05,7.60576e-05
73,7577.75,0.92703,1.24064,1.21016,0.74158,0.69657,0.7272,0.51306,1.06835,1.31159,1.28137,7.35232e-05,7.35232e-05,7.35232e-05
74,7681.99,0.93203,1.22525,1.21818,0.7333,0.70242,0.72706,0.50871,1.07967,1.29084,1.28161,7.09888e-05,7.09888e-05,7.09888e-05
75,7785.81,0.92453,1.23498,1.21097,0.75785,0.67557,0.72421,0.51262,1.06616,1.318,1.27569,6.84544e-05,6.84544e-05,6.84544e-05
76,7889.37,0.93353,1.2158,1.21122,0.71564,0.69246,0.71662,0.50493,1.07649,1.33512,1.27772,6.592e-05,6.592e-05,6.592e-05
77,7992.78,0.92237,1.22091,1.20593,0.72657,0.69706,0.71779,0.50139,1.07556,1.31457,1.27773,6.33856e-05,6.33856e-05,6.33856e-05
78,8096.69,0.90572,1.20469,1.20631,0.74007,0.70441,0.73106,0.51038,1.06736,1.2795,1.26865,6.08512e-05,6.08512e-05,6.08512e-05
79,8200.04,0.9167,1.17344,1.20396,0.73293,0.69957,0.72301,0.50842,1.06882,1.26518,1.27677,5.83168e-05,5.83168e-05,5.83168e-05
80,8303.73,0.922,1.20045,1.20862,0.76729,0.67685,0.72802,0.5129,1.073,1.26119,1.283,5.57824e-05,5.57824e-05,5.57824e-05
81,8407.13,0.91378,1.17455,1.20231,0.77925,0.67935,0.73307,0.50995,1.07374,1.29392,1.28542,5.3248e-05,5.3248e-05,5.3248e-05
82,8510.67,0.91418,1.17693,1.19815,0.77413,0.66903,0.72699,0.50904,1.06501,1.25477,1.28348,5.07136e-05,5.07136e-05,5.07136e-05
83,8614.03,0.91047,1.17813,1.20184,0.75239,0.68948,0.72969,0.51456,1.06832,1.23304,1.27765,4.81792e-05,4.81792e-05,4.81792e-05
84,8717.53,0.90168,1.16816,1.19619,0.73964,0.7072,0.73527,0.52077,1.06322,1.24066,1.27524,4.56448e-05,4.56448e-05,4.56448e-05
85,8821.05,0.91356,1.1666,1.19818,0.74358,0.70928,0.74095,0.5239,1.05975,1.23902,1.27228,4.31104e-05,4.31104e-05,4.31104e-05
86,8924.93,0.88916,1.12706,1.18698,0.74569,0.70547,0.73613,0.51893,1.06126,1.22932,1.27366,4.0576e-05,4.0576e-05,4.0576e-05
87,9028.19,0.90452,1.15775,1.19146,0.75175,0.69577,0.73215,0.5178,1.06721,1.2264,1.27542,3.80416e-05,3.80416e-05,3.80416e-05
88,9131.95,0.88961,1.16126,1.189,0.76501,0.69671,0.734,0.51804,1.06771,1.23579,1.27872,3.55072e-05,3.55072e-05,3.55072e-05
89,9235.32,0.89831,1.16508,1.19383,0.7651,0.67701,0.72931,0.52029,1.06693,1.2386,1.28029,3.29728e-05,3.29728e-05,3.29728e-05
90,9338.61,0.89493,1.1307,1.19169,0.78297,0.68178,0.73405,0.5179,1.06553,1.25407,1.27641,3.04384e-05,3.04384e-05,3.04384e-05
91,9439.99,0.78937,0.9119,1.14626,0.73017,0.69331,0.72054,0.50838,1.08037,1.3015,1.28789,2.7904e-05,2.7904e-05,2.7904e-05
92,9541.07,0.78414,0.87696,1.13872,0.74606,0.6842,0.72542,0.51054,1.07325,1.26242,1.28348,2.53696e-05,2.53696e-05,2.53696e-05
93,9642.62,0.76767,0.86097,1.12614,0.7568,0.68187,0.72611,0.51224,1.06955,1.26292,1.2801,2.28352e-05,2.28352e-05,2.28352e-05
94,9743.91,0.77161,0.86968,1.12567,0.72142,0.69891,0.71902,0.50962,1.07158,1.2737,1.2815,2.03008e-05,2.03008e-05,2.03008e-05
95,9845.61,0.76577,0.84901,1.12325,0.74128,0.68433,0.721,0.51221,1.07728,1.27417,1.28626,1.77664e-05,1.77664e-05,1.77664e-05
96,9947.44,0.75193,0.83564,1.11455,0.75939,0.66981,0.72266,0.51175,1.07803,1.26298,1.28451,1.5232e-05,1.5232e-05,1.5232e-05
97,10049.1,0.76004,0.83559,1.11246,0.76635,0.6583,0.72033,0.51125,1.07394,1.26407,1.27883,1.26976e-05,1.26976e-05,1.26976e-05
98,10151.6,0.74811,0.82042,1.10516,0.7213,0.69374,0.71878,0.51389,1.06912,1.2628,1.27942,1.01632e-05,1.01632e-05,1.01632e-05
99,10253.3,0.74964,0.82223,1.11849,0.74735,0.67232,0.71831,0.51363,1.07062,1.26902,1.28133,7.6288e-06,7.6288e-06,7.6288e-06
100,10355.4,0.74901,0.82434,1.11201,0.76986,0.65783,0.72182,0.51393,1.07008,1.26256,1.28143,5.0944e-06,5.0944e-06,5.0944e-06
