epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,15686.9,0.91241,1.04245,1.20528,0.82561,0.73349,0.78822,0.56466,1.02548,1.02108,1.26993,9.37984e-05,9.37984e-05,9.37984e-05
66,15928.3,0.9162,1.02226,1.20505,0.7914,0.74635,0.78251,0.56586,1.0187,1.02748,1.26408,9.1264e-05,9.1264e-05,9.1264e-05
67,16169.9,0.91001,1.04303,1.20374,0.80368,0.72986,0.78013,0.56289,1.01837,1.00503,1.26829,8.87296e-05,8.87296e-05,8.87296e-05
68,16411.9,0.91236,1.01181,1.19943,0.77644,0.74845,0.77059,0.55675,1.02121,1.03005,1.27106,8.61952e-05,8.61952e-05,8.61952e-05
69,16653.3,0.9045,1.01923,1.19718,0.82529,0.71819,0.77829,0.56093,1.0202,1.02704,1.26482,8.36608e-05,8.36608e-05,8.36608e-05
70,16895.3,0.89888,1.02333,1.19028,0.82839,0.7178,0.77571,0.56308,1.01726,1.02353,1.26449,8.11264e-05,8.11264e-05,8.11264e-05
71,17137.3,0.9004,1.02126,1.19219,0.80032,0.72458,0.77228,0.56237,1.02316,1.01995,1.25924,7.8592e-05,7.8592e-05,7.8592e-05
72,17379.3,0.89959,1.02165,1.1912,0.80248,0.73317,0.77841,0.55827,1.03047,1.03123,1.26853,7.60576e-05,7.60576e-05,7.60576e-05
73,17621.1,0.89842,1.01163,1.18927,0.80189,0.73342,0.7791,0.55851,1.04303,1.02629,1.27948,7.35232e-05,7.35232e-05,7.35232e-05
74,17862.6,0.90595,1.02737,1.19228,0.79862,0.71926,0.76953,0.55349,1.04299,1.02561,1.28135,7.09888e-05,7.09888e-05,7.09888e-05
75,18103.9,0.89014,0.99217,1.1827,0.81519,0.73666,0.78116,0.56114,1.03113,1.02241,1.26963,6.84544e-05,6.84544e-05,6.84544e-05
76,18347.3,0.90073,0.99829,1.19032,0.8252,0.72625,0.78417,0.56621,1.02206,1.00851,1.26331,6.592e-05,6.592e-05,6.592e-05
77,18592,0.89601,0.99995,1.19332,0.79572,0.75044,0.7837,0.56774,1.01434,1.00016,1.25621,6.33856e-05,6.33856e-05,6.33856e-05
78,18837.2,0.90046,1.00146,1.19647,0.7901,0.73639,0.78069,0.56696,1.01635,1.01701,1.2605,6.08512e-05,6.08512e-05,6.08512e-05
79,19081.7,0.8885,0.9973,1.19259,0.78552,0.73665,0.77324,0.55872,1.0246,1.02732,1.25786,5.83168e-05,5.83168e-05,5.83168e-05
80,19325.9,0.90699,0.97993,1.19037,0.80597,0.74223,0.7805,0.56622,1.02274,1.00904,1.26639,5.57824e-05,5.57824e-05,5.57824e-05
81,19570.4,0.88621,0.99474,1.18864,0.81135,0.72919,0.77784,0.56499,1.01973,1.00502,1.26203,5.3248e-05,5.3248e-05,5.3248e-05
82,19814.8,0.87618,0.96868,1.18413,0.81414,0.72772,0.77648,0.5653,1.01275,1.0055,1.26188,5.07136e-05,5.07136e-05,5.07136e-05
83,20059.4,0.88255,0.97424,1.18346,0.82084,0.73479,0.78299,0.56805,1.01465,0.99581,1.2615,4.81792e-05,4.81792e-05,4.81792e-05
84,20303.9,0.88531,0.97616,1.18109,0.8106,0.73782,0.77739,0.56655,1.01184,0.98748,1.25798,4.56448e-05,4.56448e-05,4.56448e-05
85,20549,0.88485,0.96911,1.18566,0.79685,0.74722,0.77578,0.56487,1.0093,0.99644,1.25691,4.31104e-05,4.31104e-05,4.31104e-05
86,20796.6,0.88367,0.94989,1.17726,0.79839,0.74677,0.78019,0.56849,1.01208,0.9864,1.25661,4.0576e-05,4.0576e-05,4.0576e-05
87,21042.3,0.87095,0.97337,1.17666,0.79791,0.74258,0.77674,0.56665,1.00955,0.98774,1.25999,3.80416e-05,3.80416e-05,3.80416e-05
88,21288.4,0.87859,0.95617,1.1717,0.79129,0.74934,0.77685,0.56908,1.01748,0.99536,1.26327,3.55072e-05,3.55072e-05,3.55072e-05
89,21534.1,0.86956,0.94641,1.17768,0.78665,0.74261,0.77705,0.56856,1.01925,1.00396,1.26545,3.29728e-05,3.29728e-05,3.29728e-05
90,21780.5,0.87235,0.93215,1.17109,0.81053,0.72601,0.77862,0.57265,1.01141,0.9881,1.2649,3.04384e-05,3.04384e-05,3.04384e-05
91,22019.9,0.76014,0.70193,1.11818,0.79427,0.7322,0.77446,0.56584,1.01015,1.01122,1.26497,2.7904e-05,2.7904e-05,2.7904e-05
92,22261,0.74163,0.66565,1.10887,0.84023,0.71621,0.78204,0.57327,1.00845,0.99286,1.26149,2.53696e-05,2.53696e-05,2.53696e-05
93,22501,0.74222,0.66818,1.10462,0.83767,0.72874,0.78547,0.57782,1.00519,0.98321,1.25848,2.28352e-05,2.28352e-05,2.28352e-05
94,22740.5,0.73759,0.65704,1.10487,0.83348,0.7234,0.78297,0.57189,1.0094,0.99786,1.26234,2.03008e-05,2.03008e-05,2.03008e-05
95,22980.4,0.73654,0.65645,1.10969,0.81022,0.74013,0.78442,0.57369,1.00813,0.99237,1.26306,1.77664e-05,1.77664e-05,1.77664e-05
96,23220.1,0.73392,0.64489,1.10256,0.83761,0.7141,0.78315,0.57077,1.01211,0.99187,1.26509,1.5232e-05,1.5232e-05,1.5232e-05
97,23459.9,0.72733,0.64242,1.10536,0.82761,0.72347,0.78209,0.56976,1.01705,1.00294,1.26866,1.26976e-05,1.26976e-05,1.26976e-05
98,23699.5,0.73153,0.62981,1.10418,0.82901,0.71879,0.78128,0.56921,1.01795,1.00351,1.2679,1.01632e-05,1.01632e-05,1.01632e-05
99,23944.9,0.72305,0.63836,1.09815,0.81891,0.7278,0.77867,0.57121,1.0133,1.00274,1.26587,7.6288e-06,7.6288e-06,7.6288e-06
100,24182.4,0.72288,0.62889,1.09931,0.82455,0.72956,0.78042,0.57241,1.00997,0.99682,1.26237,5.0944e-06,5.0944e-06,5.0944e-06
